UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162878377937000,1771162878355316000,0,Insert,D,1,D
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162878780434000,1771162878775319000,1,Insert,n,2,Dn
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162878987764000,1771162878982798000,2,Insert,e,3,Dne
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162879232447000,1771162879221425000,3,Insert,s,4,Dnes
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162879355927000,1771162879349113000,4,Insert, ,5,Dnes 
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162879665439000,1771162879654748000,5,Insert,h,6,Dnes h
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162879797348000,1771162879792551000,6,Insert,e,7,Dnes he
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162879956326000,1771162879951464000,7,Insert, ,8,Dnes he 
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162880417017000,1771162880412239000,8,Insert,v,9,Dnes he v
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162880548309000,1771162880541394000,9,Insert,i,10,Dnes he vi
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162880760130000,1771162880755250000,10,Insert,n,11,Dnes he vin
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162880943649000,1771162880938126000,11,Insert,k,12,Dnes he vink
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162881078990000,1771162881074367000,12,Insert,a,13,Dnes he vinka
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162881443648000,1771162881438355000,13,Delete,a,12,Dnes he vink
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162881618082000,1771162881615128000,12,Delete,k,11,Dnes he vin
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162881832015000,1771162881828207000,11,Delete,n,10,Dnes he vi
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162882016115000,1771162882013682000,10,Delete,i,9,Dnes he v
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162882850608000,1771162882838276000,9,Insert,o,10,Dnes he vo
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162883172316000,1771162883158353000,10,Insert,n,11,Dnes he von
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771162883406850000,1771162883399726000,11,Insert,k,12,Dnes he vonk
