UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164044413212000,1771164044389460000,0,Insert,D,1,D
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164044962443000,1771164044956321000,1,Insert,n,2,Dn
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164045159717000,1771164045147006000,2,Insert,e,3,Dne
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164045361952000,1771164045355052000,3,Insert,s,4,Dnes
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164045754618000,1771164045747879000,4,Insert, ,5,Dnes 
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164046681094000,1771164046674161000,5,Insert,j,6,Dnes j
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164046846382000,1771164046839804000,6,Insert,e,7,Dnes je
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164046949910000,1771164046945960000,7,Insert, ,8,Dnes je 
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164047256195000,1771164047251692000,8,Insert,v,9,Dnes je v
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164047528649000,1771164047521724000,9,Insert,o,10,Dnes je vo
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164047779608000,1771164047772091000,10,Insert,n,11,Dnes je von
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164048087719000,1771164048082557000,11,Insert,k,12,Dnes je vonk
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164048279521000,1771164048274873000,12,Insert,u,13,Dnes je vonku
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164049783209000,1771164049774895000,13,Insert,p,14,Dnes je vonkup
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164049964997000,1771164049958046000,14,Insert,e,15,Dnes je vonkupe
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164050509719000,1771164050505203000,15,Delete,e,14,Dnes je vonkup
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164050684174000,1771164050679781000,14,Delete,p,13,Dnes je vonku
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164050992238000,1771164050985355000,13,Insert,b,14,Dnes je vonkub
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164051592967000,1771164051589816000,14,Delete,b,13,Dnes je vonku
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164051864574000,1771164051856360000,13,Insert, ,14,Dnes je vonku 
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164052486038000,1771164052475567000,14,Insert,p,15,Dnes je vonku p
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164052643467000,1771164052633340000,15,Insert,e,16,Dnes je vonku pe
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164053191830000,1771164053187609000,16,Insert,k,17,Dnes je vonku pek
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164053471352000,1771164053461462000,17,Insert,n,18,Dnes je vonku pekn
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164053758408000,1771164053753202000,18,Insert,e,19,Dnes je vonku pekne
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164056002164000,1771164055992990000,19,Insert,",",20,"Dnes je vonku pekne,"
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164057338523000,1771164057328452000,20,Insert, ,21,"Dnes je vonku pekne, "
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164058238236000,1771164058228489000,21,Insert,i,22,"Dnes je vonku pekne, i"
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164058715218000,1771164058710266000,22,Insert,d,23,"Dnes je vonku pekne, id"
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164058891011000,1771164058885922000,23,Insert,e,24,"Dnes je vonku pekne, ide"
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,1,1771164059027815000,1771164059021112000,24,Insert,m,25,"Dnes je vonku pekne, idem"
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,2,1771164105245406000,1771164105241468000,0,Insert,D,1,D
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,2,1771164105706954000,1771164105699848000,1,Insert,n,2,Dn
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,2,1771164105868774000,1771164105864083000,2,Insert,e,3,Dne
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,2,1771164106060926000,1771164106055607000,3,Insert,s,4,Dnes
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,2,1771164106196255000,1771164106189209000,4,Insert, ,5,Dnes 
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,2,1771164106594829000,1771164106581657000,5,Insert,j,6,Dnes j
