UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632044608000,1776616632033105000,0,Insert,D,1,D
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632155526000,1776616632150594000,1,Insert,n,2,Dn
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632250440000,1776616632246552000,2,Insert,e,3,Dne
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632472119000,1776616632466547000,3,Insert,s,4,Dnes
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632601164000,1776616632597130000,4,Insert, ,5,Dnes 
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632803142000,1776616632798928000,5,Insert,b,6,Dnes b
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616632985983000,1776616632982023000,6,Insert,u,7,Dnes bu
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616633096414000,1776616633092238000,7,Insert,d,8,Dnes bud
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616633291051000,1776616633286740000,8,Insert,e,9,Dnes bude
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616633435409000,1776616633427693000,9,Insert, ,10,Dnes bude 
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616633616494000,1776616633612189000,10,Insert,s,11,Dnes bude s
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616633717108000,1776616633712489000,11,Insert,u,12,Dnes bude su
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616633933257000,1776616633929338000,12,Insert,p,13,Dnes bude sup
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616634074479000,1776616634068925000,13,Insert,e,14,Dnes bude supe
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616634257792000,1776616634253876000,14,Insert,r,15,Dnes bude super
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616634544509000,1776616634534060000,15,Insert, ,16,Dnes bude super 
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616634638195000,1776616634629347000,16,Insert,d,17,Dnes bude super d
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616634823948000,1776616634819758000,17,Insert,e,18,Dnes bude super de
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616634989126000,1776616634985366000,18,Insert,n,19,Dnes bude super den
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616635272307000,1776616635265881000,19,Insert,",",20,"Dnes bude super den,"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616635459129000,1776616635451081000,20,Insert, ,21,"Dnes bude super den, "
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616635674074000,1776616635666352000,21,Insert,l,22,"Dnes bude super den, l"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616635783163000,1776616635778553000,22,Insert,e,23,"Dnes bude super den, le"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616635979859000,1776616635970778000,23,Insert,v,24,"Dnes bude super den, lev"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616636215374000,1776616636208057000,24,Insert,o,25,"Dnes bude super den, levo"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616636457178000,1776616636451227000,25,Insert, ,26,"Dnes bude super den, levo "
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616636839994000,1776616636834905000,26,Delete, ,25,"Dnes bude super den, levo"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616637018252000,1776616637014059000,25,Delete,o,24,"Dnes bude super den, lev"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616637215929000,1776616637210979000,24,Delete,v,23,"Dnes bude super den, le"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616637697024000,1776616637692502000,23,Insert,b,24,"Dnes bude super den, leb"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616637892251000,1776616637888135000,24,Insert,o,25,"Dnes bude super den, lebo"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616638115275000,1776616638105862000,25,Insert, ,26,"Dnes bude super den, lebo "
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616638302491000,1776616638298774000,26,Insert,i,27,"Dnes bude super den, lebo i"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616638398345000,1776616638394608000,27,Insert,d,28,"Dnes bude super den, lebo id"
A2SsgxEqJLY9Avf3vCgly0OIQux1,1,1776616638618667000,1776616638610227000,28,Insert,e,29,"Dnes bude super den, lebo ide"
