UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918550902512000,1770918550889334000,0,Insert,c,1,c
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918551719372000,1770918551716020000,1,Delete,c,0,
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918552543140000,1770918552539274000,0,Insert,C,1,C
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918552761621000,1770918552755803000,1,Insert,h,2,Ch
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918553585232000,1770918553579126000,2,Insert,c,3,Chc
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918553842349000,1770918553835425000,3,Insert,e,4,Chce
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918554780292000,1770918554771575000,4,Insert,l,5,Chcel
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918555106375000,1770918555101053000,5,Insert,a,6,Chcela
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918555782307000,1770918555776095000,6,Insert, ,7,Chcela 
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918563150683000,1770918563141164000,7,Insert,b,8,Chcela b
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918563542766000,1770918563536736000,8,Insert,y,9,Chcela by
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918563773099000,1770918563767094000,9,Insert, ,10,Chcela by 
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918564394969000,1770918564390653000,10,Insert,s,11,Chcela by s
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918564693655000,1770918564687387000,11,Insert,o,12,Chcela by so
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918564975161000,1770918564971276000,12,Insert,m,13,Chcela by som
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918566462550000,1770918566451422000,13,Insert,",",14,"Chcela by som,"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918567165172000,1770918567154981000,14,Insert, ,15,"Chcela by som, "
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918567736241000,1770918567732278000,15,Insert,a,16,"Chcela by som, a"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918568024600000,1770918568017739000,16,Insert,b,17,"Chcela by som, ab"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918568529064000,1770918568521763000,17,Insert, ,18,"Chcela by som, ab "
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918569566700000,1770918569562387000,18,Delete, ,17,"Chcela by som, ab"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918570381638000,1770918570375857000,17,Insert,y,18,"Chcela by som, aby"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918571060319000,1770918571052810000,18,Insert, ,19,"Chcela by som, aby "
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918572398226000,1770918572393140000,19,Insert,b,20,"Chcela by som, aby b"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918572743697000,1770918572737631000,20,Insert,o,21,"Chcela by som, aby bo"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918572975889000,1770918572969409000,21,Insert,l,22,"Chcela by som, aby bol"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918573435547000,1770918573429504000,22,Insert, ,23,"Chcela by som, aby bol "
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918573762765000,1770918573756013000,23,Insert,k,24,"Chcela by som, aby bol k"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918573930830000,1770918573926181000,24,Insert,o,25,"Chcela by som, aby bol ko"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918574167009000,1770918574160197000,25,Insert,n,26,"Chcela by som, aby bol kon"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918574394812000,1770918574391005000,26,Insert,i,27,"Chcela by som, aby bol koni"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918574764458000,1770918574758546000,27,Insert,a,28,"Chcela by som, aby bol konia"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918574972792000,1770918574969014000,28,Insert,c,29,"Chcela by som, aby bol koniac"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918575930546000,1770918575924453000,29,Insert, ,30,"Chcela by som, aby bol koniac "
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918576384058000,1770918576378407000,30,Insert,r,31,"Chcela by som, aby bol koniac r"
zADTuV7nEORpOPqPqjLYGgZyVUD3,1,1770918576833486000,1770918576826351000,31,Insert,o,32,"Chcela by som, aby bol koniac ro"
