UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075009305746000,1771075009294423000,0,Insert,V,1,V
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075009814636000,1771075009809145000,1,Insert,c,2,Vc
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075010235331000,1771075010229438000,2,Insert,e,3,Vce
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075010478191000,1771075010471169000,3,Insert,r,4,Vcer
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075010997891000,1771075010993904000,4,Insert,a,5,Vcera
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075011829039000,1771075011819881000,5,Insert, ,6,Vcera 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075012125911000,1771075012120182000,6,Insert,s,7,Vcera s
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075012416155000,1771075012411389000,7,Insert,o,8,Vcera so
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075012824769000,1771075012818368000,8,Insert,m,9,Vcera som
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075013127874000,1771075013120191000,9,Insert, ,10,Vcera som 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075013521104000,1771075013514653000,10,Insert,b,11,Vcera som b
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075013801797000,1771075013793860000,11,Insert,o,12,Vcera som bo
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075014228941000,1771075014225304000,12,Insert,l,13,Vcera som bol
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075014551611000,1771075014544619000,13,Insert, ,14,Vcera som bol 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075014934756000,1771075014929159000,14,Insert,n,15,Vcera som bol n
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075015275468000,1771075015269658000,15,Insert,a,16,Vcera som bol na
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075015810678000,1771075015799939000,16,Insert, ,17,Vcera som bol na 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075016217633000,1771075016213749000,17,Insert,t,18,Vcera som bol na t
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075016590010000,1771075016584104000,18,Insert,u,19,Vcera som bol na tu
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771075017205212000,1771075017201543000,19,Insert,r,20,Vcera som bol na tur
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771075060266782000,1771075060263868000,0,Insert,V,1,V
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771075061150611000,1771075061144957000,1,Insert,c,2,Vc
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771075061510026000,1771075061504058000,2,Insert,e,3,Vce
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771075061751428000,1771075061744610000,3,Insert,r,4,Vcer
