UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564368574561000,1772564368560041000,0,Insert,v,1,v
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564368653648000,1772564368649564000,1,Insert,o,2,vo
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564368937694000,1772564368929244000,2,Insert,a,3,voa
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564369216585000,1772564369210769000,3,Delete,a,2,vo
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564369612649000,1772564369608912000,2,Insert,l,3,vol
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564369694623000,1772564369691133000,3,Insert,a,4,vola
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564369794503000,1772564369790832000,4,Insert,m,5,volam
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564369972151000,1772564369968465000,5,Insert, ,6,volam 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370045628000,1772564370041891000,6,Insert,s,7,volam s
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370201629000,1772564370197471000,7,Insert,a,8,volam sa
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370247983000,1772564370239899000,8,Insert, ,9,volam sa 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370434027000,1772564370430350000,9,Insert,j,10,volam sa j
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370519597000,1772564370515961000,10,Insert,a,11,volam sa ja
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370630605000,1772564370626377000,11,Insert,n,12,volam sa jan
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370780898000,1772564370777139000,12,Insert, ,13,volam sa jan 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564370915197000,1772564370911658000,13,Insert,d,14,volam sa jan d
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564371086850000,1772564371082692000,14,Insert,e,15,volam sa jan de
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564371133187000,1772564371129515000,15,Insert,n,16,volam sa jan den
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564371260927000,1772564371257145000,16,Insert,e,17,volam sa jan dene
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564371681234000,1772564371677617000,17,Delete,e,16,volam sa jan den
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564371832281000,1772564371829480000,16,Delete,n,15,volam sa jan de
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564372101443000,1772564372094825000,15,Insert,m,16,volam sa jan dem
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564372232200000,1772564372228434000,16,Insert,e,17,volam sa jan deme
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564372417934000,1772564372410842000,17,Insert,t,18,volam sa jan demet
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564372501264000,1772564372497537000,18,Insert,e,19,volam sa jan demete
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564372648457000,1772564372640919000,19,Insert,r,20,volam sa jan demeter
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564372920745000,1772564372914266000,20,Insert, ,21,volam sa jan demeter 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564373248102000,1772564373241845000,21,Insert,b,22,volam sa jan demeter b
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564373439791000,1772564373435946000,22,Insert,y,23,volam sa jan demeter by
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564373605148000,1772564373601448000,23,Insert,v,24,volam sa jan demeter byv
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564373733283000,1772564373729028000,24,Insert,a,25,volam sa jan demeter byva
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564373811529000,1772564373807420000,25,Insert,m,26,volam sa jan demeter byvam
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564373970037000,1772564373966150000,26,Insert, ,27,volam sa jan demeter byvam 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564374139612000,1772564374135317000,27,Insert,v,28,volam sa jan demeter byvam v
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564374285670000,1772564374275388000,28,Insert, ,29,volam sa jan demeter byvam v 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564374898866000,1772564374895279000,29,Insert,c,30,volam sa jan demeter byvam v c
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564375074923000,1772564375071113000,30,Insert,a,31,volam sa jan demeter byvam v ca
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564375146473000,1772564375142773000,31,Insert,k,32,volam sa jan demeter byvam v cak
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564375310995000,1772564375307155000,32,Insert,l,33,volam sa jan demeter byvam v cakl
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564375527036000,1772564375520451000,33,Insert,v,34,volam sa jan demeter byvam v caklv
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564375709005000,1772564375700872000,34,Insert,e,35,volam sa jan demeter byvam v caklve
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564375856381000,1772564375846493000,35,Insert, ,36,volam sa jan demeter byvam v caklve 
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564376077856000,1772564376073667000,36,Delete, ,35,volam sa jan demeter byvam v caklve
zisvLwXR2sXkiDyF9hQBgzCT5K03,1,1772564376209343000,1772564376206664000,35,Delete,e,34,volam sa jan demeter byvam v caklv
