user_id,text_type,threshold,accuracy,far,frr,eer
zisvLwXR2sXkiDyF9hQBgzCT5K03,shared_text,0.3,0.9846153846153847,0.016,0.0,0.008
zwWo0D9MehY88RXRA0BYoGdJKCz2,shared_text,0.015,0.9769230769230769,0.024,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,personal_text,0.04,0.9307692307692308,0.072,0.0,0.028
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,personal_text,0.11,0.9923076923076923,0.008,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,personal_text,0.14,0.9923076923076923,0.0,0.2,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,personal_text,0.245,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,personal_text,0.13,1.0,0.0,0.0,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,personal_text,0.09,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,personal_text,0.12,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,personal_text,0.105,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,personal_text,0.28,0.9923076923076923,0.0,0.2,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,personal_text,0.05,0.9846153846153847,0.016,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,personal_text,0.07,0.9923076923076923,0.008,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,personal_text,0.115,0.9769230769230769,0.024,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,personal_text,0.165,1.0,0.0,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,personal_text,0.03,1.0,0.0,0.0,0.0
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,personal_text,0.015,0.9230769230769231,0.08,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,personal_text,0.055,0.9538461538461539,0.048,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,personal_text,0.035,0.9923076923076923,0.008,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,personal_text,0.125,0.9923076923076923,0.008,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,personal_text,0.025,0.9846153846153847,0.016,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,personal_text,0.035,0.9923076923076923,0.008,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,personal_text,0.03,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,personal_text,0.115,0.9923076923076923,0.0,0.2,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,personal_text,0.055,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,personal_text,0.12,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,personal_text,0.14,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,personal_text,0.185,1.0,0.0,0.0,0.0
