UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565172895202000,1772565172882602000,0,Insert,A,1,A
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565172995877000,1772565172991890000,1,Insert,b,2,Ab
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173120526000,1772565173116651000,2,Insert,s,3,Abs
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173243914000,1772565173239052000,3,Insert,o,4,Abso
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173383411000,1772565173379069000,4,Insert,l,5,Absol
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173536094000,1772565173531087000,5,Insert,u,6,Absolu
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173637288000,1772565173633331000,6,Insert,t,7,Absolut
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173762846000,1772565173757873000,7,Insert,n,8,Absolutn
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173831153000,1772565173827715000,8,Insert,e,9,Absolutne
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565173936349000,1772565173932256000,9,Insert, ,10,Absolutne 
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174050844000,1772565174047298000,10,Insert,n,11,Absolutne n
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174102613000,1772565174099034000,11,Insert,e,12,Absolutne ne
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174264636000,1772565174259724000,12,Insert,r,13,Absolutne ner
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174315714000,1772565174312045000,13,Insert,o,14,Absolutne nero
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174485755000,1772565174482008000,14,Insert,y,15,Absolutne neroy
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174822141000,1772565174817993000,15,Delete,y,14,Absolutne nero
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565174951017000,1772565174944923000,14,Insert,z,15,Absolutne neroz
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565175068370000,1772565175064287000,15,Insert,u,16,Absolutne nerozu
DJldbpv8XEYPwLseK8tAlA0EFfV2,1,1772565175256867000,1772565175253157000,16,Insert,m,17,Absolutne nerozum
